"ID";"Type";"Hidden";"Learning rate";"Momentum";"Final error";"Epochs";"Total time"
"C1";"batch";1;"0,001";"0,07";"0,000183";2000;25.131999969482422
"C1";"batch";1;"0,001";"0,07";"0,00016";2000;25.115999937057495
"C2";"batch";1;"0,001";"0,075";"0,000159";2000;25.115999937057495
"C2";"batch";1;"0,001";"0,075";"0,000154";2000;25.161999940872192
"C3";"batch";1;"0,001";"0,08";"0,000175";2000;25.14800000190735
"C3";"batch";1;"0,001";"0,08";"0,000149";2000;25.147000074386597
"C4";"batch";1;"0,003";"0,07";"0,000239";2000;25.194000005722046
"C4";"batch";1;"0,003";"0,07";"0,000144";2000;25.13100004196167
"C5";"batch";1;"0,003";"0,075";"0,000153";2000;25.131999969482422
"C5";"batch";1;"0,003";"0,075";"0,005969";2000;25.30299997329712
"C6";"batch";1;"0,003";"0,08";"0,000163";2000;25.162999868392944
"C6";"batch";1;"0,003";"0,08";"0,000152";2000;25.13100004196167
"C7";"batch";1;"0,005";"0,07";"0,000184";2000;25.13100004196167
"C7";"batch";1;"0,005";"0,07";"0,000182";2000;25.132000207901
"C8";"batch";1;"0,005";"0,075";"0,000163";2000;25.115999937057495
"C8";"batch";1;"0,005";"0,075";"0,000149";2000;25.115999937057495
"C9";"batch";1;"0,005";"0,08";"0,000137";2000;25.116000175476074
"C9";"batch";1;"0,005";"0,08";"0,000167";2000;25.147000074386597
"C10";"batch";1;"0,01";"0,07";"0,000145";2000;25.115999937057495
"C10";"batch";1;"0,01";"0,07";"0,000154";2000;25.115999937057495
"C11";"batch";1;"0,01";"0,075";"0,000147";2000;25.100000143051147
"C11";"batch";1;"0,01";"0,075";"0,000141";2000;25.100000143051147
"C12";"batch";1;"0,01";"0,08";"0,000143";2000;25.115999937057495
"C12";"batch";1;"0,01";"0,08";"0,000134";2000;25.116000175476074
"C13";"batch";2;"0,001";"0,07";"0,0001";1823;45.49000000953674
"C13";"batch";2;"0,001";"0,07";"0,000118";2000;49.920000076293945
"C14";"batch";2;"0,001";"0,075";"0,0001";1874;46.78400015830994
"C14";"batch";2;"0,001";"0,075";"0,0001";1560;38.92199993133545
"C15";"batch";2;"0,001";"0,08";"0,000125";2000;49.87299990653992
"C15";"batch";2;"0,001";"0,08";"0,000104";2000;49.90499997138977
"C16";"batch";2;"0,003";"0,07";"0,000167";2000;49.87299990653992
"C16";"batch";2;"0,003";"0,07";"0,000104";2000;49.90499997138977
"C17";"batch";2;"0,003";"0,075";"0,000118";2000;49.93600010871887
"C17";"batch";2;"0,003";"0,075";"0,0001";1987;49.59299993515015
"C18";"batch";2;"0,003";"0,08";"0,0001";1857;46.33200001716614
"C18";"batch";2;"0,003";"0,08";"0,0001";1889;47.11199998855591
"C19";"batch";2;"0,005";"0,07";"0,000127";2000;49.90400004386902
"C19";"batch";2;"0,005";"0,07";"0,0001";1975;49.2960000038147
"C20";"batch";2;"0,005";"0,075";"0,0001";2000;49.9520001411438
"C20";"batch";2;"0,005";"0,075";"0,000126";2000;49.87399983406067
"C21";"batch";2;"0,005";"0,08";"0,000106";2000;49.85899996757507
"C21";"batch";2;"0,005";"0,08";"0,005974";2000;49.888999938964844
"C22";"batch";2;"0,01";"0,07";"0,000104";2000;49.85800004005432
"C22";"batch";2;"0,01";"0,07";"0,000156";2000;49.873000144958496
"C23";"batch";2;"0,01";"0,075";"0,000118";2000;49.90499997138977
"C23";"batch";2;"0,01";"0,075";"0,000128";2000;49.87299990653992
"C24";"batch";2;"0,01";"0,08";"0,0001";1365;34.1010000705719
"C24";"batch";2;"0,01";"0,08";"0,0001";1930;48.156999826431274
"C25";"batch";3;"0,001";"0,07";"0,000132";2000;73.78799986839294
"C25";"batch";3;"0,001";"0,07";"0,000157";2000;73.35199999809265
"C26";"batch";3;"0,001";"0,075";"0,005982";2000;73.35199999809265
"C26";"batch";3;"0,001";"0,075";"0,0001";1204;44.67799997329712
"C27";"batch";3;"0,001";"0,08";"0,00012";2000;73.21099996566772
"C27";"batch";3;"0,001";"0,08";"0,00166";2000;72.86800003051758
"C28";"batch";3;"0,003";"0,07";"0,0001";1943;71.36999988555908
"C28";"batch";3;"0,003";"0,07";"0,000119";2000;73.71000003814697
"C29";"batch";3;"0,003";"0,075";"0,000124";2000;73.16499996185303
"C29";"batch";3;"0,003";"0,075";"0,000112";2000;73.25699996948242
"C30";"batch";3;"0,003";"0,08";"0,000145";2000;73.6949999332428
"C30";"batch";3;"0,003";"0,08";"0,0001";1511;55.28600001335144
"C31";"batch";3;"0,005";"0,07";"0,000109";2000;73.32100009918213
"C31";"batch";3;"0,005";"0,07";"0,000116";2000;73.27300000190735
"C32";"batch";3;"0,005";"0,075";"0,000188";2000;73.3050000667572
"C32";"batch";3;"0,005";"0,075";"0,000111";2000;73.72599983215332
"C33";"batch";3;"0,005";"0,08";"0,000106";2000;73.14900016784668
"C33";"batch";3;"0,005";"0,08";"0,001041";2000;72.99199986457825
"C34";"batch";3;"0,01";"0,07";"0,0001";1867;69.0460000038147
"C34";"batch";3;"0,01";"0,07";"0,000102";2000;73.0090000629425
"C35";"batch";3;"0,01";"0,075";"0,0001";1820;66.9079999923706
"C35";"batch";3;"0,01";"0,075";"0,005895";2000;71.79099988937378
"C36";"batch";3;"0,01";"0,08";"0,000102";2000;73.61700010299683
"C36";"batch";3;"0,01";"0,08";"0,0001";1785;66.05100011825562
