"ID";"Type";"Hidden";"Learning rate";"Momentum";"Final error";"Epochs";"Total time"
"C1";"batch";2;"0,001";"0,07";"0,00012";"2000,0";"50,718s"
"C2";"batch";2;"0,001";"0,075";"0,000125";"2000,0";"50,009s"
"C3";"batch";2;"0,001";"0,08";"0,000136";"2000,0";"44,882s"
"C4";"batch";2;"0,003";"0,07";"0,000102";"2000,0";"47,33s"
"C5";"batch";2;"0,003";"0,075";"0,000129";"2000,0";"44,416s"
"C6";"batch";2;"0,003";"0,08";"0,000135";"2000,0";"44,222s"
"C7";"batch";2;"0,005";"0,07";"0,000102";"2000,0";"49,12s"
"C8";"batch";2;"0,005";"0,075";"0,0001";"1588,0";"49,236s"
"C9";"batch";2;"0,005";"0,08";"0,000101";"2000,0";"49,24s"
"C10";"batch";2;"0,01";"0,07";"0,0001";"1280,0";"31,379s"
"C11";"batch";2;"0,01";"0,075";"0,0001";"1604,0";"39,337s"
"C12";"batch";2;"0,01";"0,08";"0,0001";"1546,0";"49,288s"
"C13";"batch";2;"0,03";"0,07";"0,000119";"2000,0";"49,113s"
"C14";"batch";2;"0,03";"0,075";"0,0001";"1681,0";"49,455s"
"C15";"batch";2;"0,03";"0,08";"0,0001";"1145,0";"32,584s"
"C16";"batch";2;"0,05";"0,07";"0,0001";"780,0";"32,366s"
"C17";"batch";2;"0,05";"0,075";"0,0001";"1548,0";"49,139s"
"C18";"batch";2;"0,05";"0,08";"0,000107";"2000,0";"49,2s"
