"ID";"Type";"Hidden";"Learning rate";"Momentum";"Final error";"Epochs";"Total time"
"C1";"batch";2;"0,01";"0";"0,0001";702036;48.355000019073486
"C1";"batch";2;"0,01";"0";"0,083583";1000000;69.00399994850159
"C1";"batch";2;"0,01";"0";"0,0001";707206;48.74399995803833
"C1";"batch";2;"0,01";"0";"0,0001";682554;47.13800001144409
"C1";"batch";2;"0,01";"0";"0,0001";726509;50.18499994277954
"C1";"batch";2;"0,01";"0";"0,0001";686994;47.31399989128113
"C1";"batch";2;"0,01";"0";"0,0001";714341;49.1800000667572
"C2";"batch";2;"0,01";"0,8";"0,0001";15702;1.070000171661377
"C2";"batch";2;"0,01";"0,8";"0,0001";15168;1.0399999618530273
"C2";"batch";2;"0,01";"0,8";"0,0001";15508;1.0699999332427979
"C2";"batch";2;"0,01";"0,8";"0,0001";8876;0.6200001239776611
"C2";"batch";2;"0,01";"0,8";"0,083335";1000000;69.48600006103516
"C2";"batch";2;"0,01";"0,8";"0,0001";9761;0.6699998378753662
"C2";"batch";2;"0,01";"0,8";"0,0001";15394;1.0600001811981201
"C3";"batch";2;"0,01";"0,85";"0,062501";1000000;68.82999992370605
"C3";"batch";2;"0,01";"0,85";"0,062501";1000000;68.90100002288818
"C3";"batch";2;"0,01";"0,85";"0,125";1000000;69.11100006103516
"C3";"batch";2;"0,01";"0,85";"0,0001";14654;1.0079998970031738
"C3";"batch";2;"0,01";"0,85";"0,083334";1000000;69.08599996566772
"C3";"batch";2;"0,01";"0,85";"0,083335";1000000;68.79800009727478
"C3";"batch";2;"0,01";"0,85";"0,0001";14546;0.9900000095367432
"C4";"batch";2;"0,01";"0,9";"0,062501";1000000;68.87100005149841
"C4";"batch";2;"0,01";"0,9";"0,062501";1000000;68.83399987220764
"C4";"batch";2;"0,01";"0,9";"0,083335";1000000;69.03199982643127
"C4";"batch";2;"0,01";"0,9";"0,0001";13569;0.940000057220459
"C4";"batch";2;"0,01";"0,9";"0,062502";1000000;69.00099992752075
"C4";"batch";2;"0,01";"0,9";"0,125";1000000;68.85000014305115
"C4";"batch";2;"0,01";"0,9";"0,062501";1000000;68.8069999217987
"C5";"batch";2;"0,05";"0";"0,125";1000000;68.87199997901917
"C5";"batch";2;"0,05";"0";"0,083368";1000000;69.03999996185303
"C5";"batch";2;"0,05";"0";"0,125";1000000;68.88100004196167
"C5";"batch";2;"0,05";"0";"0,083367";1000000;68.92400002479553
"C5";"batch";2;"0,05";"0";"0,125";1000000;68.89199995994568
"C5";"batch";2;"0,05";"0";"0,08335";1000000;69.03999996185303
"C5";"batch";2;"0,05";"0";"0,08339";1000000;69.00500011444092
"C6";"batch";2;"0,05";"0,8";"0,0001";15702;1.0799999237060547
"C6";"batch";2;"0,05";"0,8";"0,062501";1000000;69.18800020217896
"C6";"batch";2;"0,05";"0,8";"0,0001";8311;0.5699999332427979
"C6";"batch";2;"0,05";"0,8";"0,083336";1000000;68.97000002861023
"C6";"batch";2;"0,05";"0,8";"0,0001";14620;1.0099999904632568
"C6";"batch";2;"0,05";"0,8";"0,0001";14724;1.0099999904632568
"C6";"batch";2;"0,05";"0,8";"0,083335";1000000;68.9300000667572
"C7";"batch";2;"0,05";"0,85";"0,124979";1000000;68.97399997711182
"C7";"batch";2;"0,05";"0,85";"0,0001";14465;0.9939999580383301
"C7";"batch";2;"0,05";"0,85";"0,0001";7723;0.5299999713897705
"C7";"batch";2;"0,05";"0,85";"0,062501";1000000;68.9449999332428
"C7";"batch";2;"0,05";"0,85";"0,0001";13468;0.9309999942779541
"C7";"batch";2;"0,05";"0,85";"0,0001";15031;1.0300002098083496
"C7";"batch";2;"0,05";"0,85";"0,121467";1000000;68.97099995613098
"C8";"batch";2;"0,05";"0,9";"0,0001";7442;0.5099999904632568
"C8";"batch";2;"0,05";"0,9";"0,083335";1000000;68.96300005912781
"C8";"batch";2;"0,05";"0,9";"0,0001";13064;0.8999998569488525
"C8";"batch";2;"0,05";"0,9";"0,083334";1000000;68.99400019645691
"C8";"batch";2;"0,05";"0,9";"0,083335";1000000;68.76899981498718
"C8";"batch";2;"0,05";"0,9";"0,124983";1000000;68.99700021743774
"C8";"batch";2;"0,05";"0,9";"0,083337";1000000;68.85099983215332
"C9";"batch";2;"0,09";"0";"0,083357";1000000;69.29999995231628
"C9";"batch";2;"0,09";"0";"0,0001";135914;9.378000020980835
"C9";"batch";2;"0,09";"0";"0,0001";80163;5.549999952316284
"C9";"batch";2;"0,09";"0";"0,083344";1000000;68.87700009346008
"C9";"batch";2;"0,09";"0";"0,0001";77332;5.3429999351501465
"C9";"batch";2;"0,09";"0";"0,083347";1000000;68.94199991226196
"C9";"batch";2;"0,09";"0";"0,125";1000000;69.03499984741211
"C10";"batch";2;"0,09";"0,8";"0,083335";1000000;68.81500005722046
"C10";"batch";2;"0,09";"0,8";"0,0001";7830;0.5399999618530273
"C10";"batch";2;"0,09";"0,8";"0,0001";13919;0.9570000171661377
"C10";"batch";2;"0,09";"0,8";"0,083335";1000000;68.72000002861023
"C10";"batch";2;"0,09";"0,8";"0,0001";14270;0.9909999370574951
"C10";"batch";2;"0,09";"0,8";"0,0001";7830;0.5299999713897705
"C10";"batch";2;"0,09";"0,8";"0,062501";1000000;68.83200001716614
"C11";"batch";2;"0,09";"0,85";"0,062501";1000000;68.74199986457825
"C11";"batch";2;"0,09";"0,85";"0,062501";1000000;68.83800005912781
"C11";"batch";2;"0,09";"0,85";"0,062501";1000000;68.7260000705719
"C11";"batch";2;"0,09";"0,85";"0,0001";13052;0.8959999084472656
"C11";"batch";2;"0,09";"0,85";"0,062501";1000000;68.96099996566772
"C11";"batch";2;"0,09";"0,85";"0,0001";13021;0.8900001049041748
"C11";"batch";2;"0,09";"0,85";"0,062501";1000000;68.82599997520447
"C12";"batch";2;"0,09";"0,9";"0,0001";12513;0.8600001335144043
"C12";"batch";2;"0,09";"0,9";"0,083338";1000000;69.25300002098083
"C12";"batch";2;"0,09";"0,9";"0,0001";13349;0.9199998378753662
"C12";"batch";2;"0,09";"0,9";"0,0001";12580;0.871999979019165
"C12";"batch";2;"0,09";"0,9";"0,0001";12512;0.871999979019165
"C12";"batch";2;"0,09";"0,9";"0,0001";12401;0.8499999046325684
"C12";"batch";2;"0,09";"0,9";"0,083335";1000000;69.0
"C13";"batch";2;"0,1";"0";"0,0001";71219;4.909999847412109
"C13";"batch";2;"0,1";"0";"0,062508";1000000;69.02400016784668
"C13";"batch";2;"0,1";"0";"0,083341";1000000;68.88099980354309
"C13";"batch";2;"0,1";"0";"0,0001";70632;4.870000123977661
"C13";"batch";2;"0,1";"0";"0,0001";71828;4.954999923706055
"C13";"batch";2;"0,1";"0";"0,083341";1000000;68.84899997711182
"C13";"batch";2;"0,1";"0";"0,06251";1000000;68.94500017166138
"C14";"batch";2;"0,1";"0,8";"0,0001";13572;0.9399998188018799
"C14";"batch";2;"0,1";"0,8";"0,0001";14681;1.0099999904632568
"C14";"batch";2;"0,1";"0,8";"0,083334";1000000;68.875
"C14";"batch";2;"0,1";"0,8";"0,0001";13655;0.9470000267028809
"C14";"batch";2;"0,1";"0,8";"0,083336";1000000;68.66600012779236
"C14";"batch";2;"0,1";"0,8";"0,062501";1000000;68.75099992752075
"C14";"batch";2;"0,1";"0,8";"0,083335";1000000;68.82200002670288
"C15";"batch";2;"0,1";"0,85";"0,0001";7529;0.5199999809265137
"C15";"batch";2;"0,1";"0,85";"0,083335";1000000;68.74200010299683
"C15";"batch";2;"0,1";"0,85";"0,0001";13099;0.8999998569488525
"C15";"batch";2;"0,1";"0,85";"0,0001";13139;0.9000000953674316
"C15";"batch";2;"0,1";"0,85";"0,062501";1000000;68.75200009346008
"C15";"batch";2;"0,1";"0,85";"0,083334";1000000;68.64100003242493
"C15";"batch";2;"0,1";"0,85";"0,0001";13044;0.8999998569488525
"C16";"batch";2;"0,1";"0,9";"0,062501";1000000;68.79800009727478
"C16";"batch";2;"0,1";"0,9";"0,12498";1000000;68.8989999294281
"C16";"batch";2;"0,1";"0,9";"0,0001";12125;0.8399999141693115
"C16";"batch";2;"0,1";"0,9";"0,0001";12952;0.8900001049041748
"C16";"batch";2;"0,1";"0,9";"0,0001";12485;0.8600001335144043
"C16";"batch";2;"0,1";"0,9";"0,062502";1000000;68.86500000953674
"C16";"batch";2;"0,1";"0,9";"0,0001";7988;0.5509998798370361
"C17";"batch";2;"0,5";"0";"0,0001";13928;0.9600000381469727
"C17";"batch";2;"0,5";"0";"0,0001";13577;1.0299999713897705
"C17";"batch";2;"0,5";"0";"0,083335";1000000;68.98800015449524
"C17";"batch";2;"0,5";"0";"0,083336";1000000;68.85899996757507
"C17";"batch";2;"0,5";"0";"0,0001";13965;0.9630000591278076
"C17";"batch";2;"0,5";"0";"0,083336";1000000;68.90700006484985
"C17";"batch";2;"0,5";"0";"0,083336";1000000;68.85899996757507
"C18";"batch";2;"0,5";"0,8";"0,083334";1000000;68.65699982643127
"C18";"batch";2;"0,5";"0,8";"0,0001";9531;0.6500000953674316
"C18";"batch";2;"0,5";"0,8";"0,0001";9541;0.6519999504089355
"C18";"batch";2;"0,5";"0,8";"0,0001";9493;0.6510000228881836
"C18";"batch";2;"0,5";"0,8";"0,083334";1000000;68.78800010681152
"C18";"batch";2;"0,5";"0,8";"0,083334";1000000;68.76300001144409
"C18";"batch";2;"0,5";"0,8";"0,083334";1000000;68.92199993133545
"C19";"batch";2;"0,5";"0,85";"0,062501";1000000;68.72099995613098
"C19";"batch";2;"0,5";"0,85";"0,083336";1000000;68.71300005912781
"C19";"batch";2;"0,5";"0,85";"0,0001";4979;0.34400010108947754
"C19";"batch";2;"0,5";"0,85";"0,114556";1000000;68.8529999256134
"C19";"batch";2;"0,5";"0,85";"0,083334";1000000;68.67400002479553
"C19";"batch";2;"0,5";"0,85";"0,083334";1000000;68.68099999427795
"C19";"batch";2;"0,5";"0,85";"0,083335";1000000;68.70499992370605
"C20";"batch";2;"0,5";"0,9";"0,0001";11070;0.7690000534057617
"C20";"batch";2;"0,5";"0,9";"0,083334";1000000;68.83800005912781
"C20";"batch";2;"0,5";"0,9";"0,0001";8762;0.5989999771118164
"C20";"batch";2;"0,5";"0,9";"0,0001";8825;0.6100001335144043
"C20";"batch";2;"0,5";"0,9";"0,062501";1000000;68.88199996948242
"C20";"batch";2;"0,5";"0,9";"0,0001";8865;0.6060001850128174
"C20";"batch";2;"0,5";"0,9";"0,062501";1000000;68.82200002670288
"C21";"batch";2;"0,9";"0";"0,083335";1000000;68.86399984359741
"C21";"batch";2;"0,9";"0";"0,083336";1000000;69.13900017738342
"C21";"batch";2;"0,9";"0";"0,08334";1000000;68.96000003814697
"C21";"batch";2;"0,9";"0";"0,083336";1000000;69.15499997138977
"C21";"batch";2;"0,9";"0";"0,0001";7958;0.5399999618530273
"C21";"batch";2;"0,9";"0";"0,125";1000000;69.18499994277954
"C21";"batch";2;"0,9";"0";"0,083335";1000000;68.88700008392334
"C22";"batch";2;"0,9";"0,8";"0,083334";1000000;69.15599989891052
"C22";"batch";2;"0,9";"0,8";"0,0625";1000000;68.66700005531311
"C22";"batch";2;"0,9";"0,8";"0,062501";1000000;69.00699996948242
"C22";"batch";2;"0,9";"0,8";"0,062501";1000000;68.69799995422363
"C22";"batch";2;"0,9";"0,8";"0,083334";1000000;69.00100016593933
"C22";"batch";2;"0,9";"0,8";"0,125";1000000;68.82999992370605
"C22";"batch";2;"0,9";"0,8";"0,0001";7412;0.5099999904632568
"C23";"batch";2;"0,9";"0,85";"0,062501";1000000;68.66499996185303
"C23";"batch";2;"0,9";"0,85";"0,0001";7306;0.5099999904632568
"C23";"batch";2;"0,9";"0,85";"0,062501";1000000;68.90699982643127
"C23";"batch";2;"0,9";"0,85";"0,083335";1000000;70.18099999427795
"C23";"batch";2;"0,9";"0,85";"0,0001";7068;0.48000001907348633
"C23";"batch";2;"0,9";"0,85";"0,083334";1000000;69.63199996948242
"C23";"batch";2;"0,9";"0,85";"0,083334";1000000;68.76000022888184
"C24";"batch";2;"0,9";"0,9";"0,083334";1000000;69.12099981307983
"C24";"batch";2;"0,9";"0,9";"0,0001";6876;0.4700000286102295
"C24";"batch";2;"0,9";"0,9";"0,062501";1000000;68.99000000953674
"C24";"batch";2;"0,9";"0,9";"0,0001";6906;0.48000001907348633
"C24";"batch";2;"0,9";"0,9";"0,0625";1000000;69.1010000705719
"C24";"batch";2;"0,9";"0,9";"0,0001";6768;0.46000003814697266
"C24";"batch";2;"0,9";"0,9";"0,083334";1000000;69.09999990463257
"C25";"batch";2;"0,99";"0";"0,083334";1000000;68.88000011444092
"C25";"batch";2;"0,99";"0";"0,0001";7030;0.49000000953674316
"C25";"batch";2;"0,99";"0";"0,083335";1000000;68.92999982833862
"C25";"batch";2;"0,99";"0";"0,0001";7095;0.5
"C25";"batch";2;"0,99";"0";"0,062501";1000000;68.97000002861023
"C25";"batch";2;"0,99";"0";"0,0001";6888;0.4699997901916504
"C25";"batch";2;"0,99";"0";"0,083334";1000000;68.88000011444092
"C26";"batch";2;"0,99";"0,8";"0,0001";7003;0.48000001907348633
