"ID";"Type";"Hidden";"Learning rate";"Momentum";"Final error";"Epochs";"Total time"
"C1";"batch";2;"0,01";"0";"0,0001";"682554,0";"48,355s"
"C2";"batch";2;"0,01";"0,8";"0,0001";"8876,0";"1,07s"
"C3";"batch";2;"0,01";"0,85";"0,0001";"14546,0";"68,83s"
"C4";"batch";2;"0,01";"0,9";"0,0001";"13569,0";"68,871s"
"C5";"batch";2;"0,05";"0";"0,08335";"1000000,0";"68,872s"
"C6";"batch";2;"0,05";"0,8";"0,0001";"8311,0";"1,08s"
"C7";"batch";2;"0,05";"0,85";"0,0001";"7723,0";"68,974s"
"C8";"batch";2;"0,05";"0,9";"0,0001";"7442,0";"0,51s"
"C9";"batch";2;"0,09";"0";"0,0001";"77332,0";"69,3s"
"C10";"batch";2;"0,09";"0,8";"0,0001";"7830,0";"68,815s"
"C11";"batch";2;"0,09";"0,85";"0,0001";"13021,0";"68,742s"
"C12";"batch";2;"0,09";"0,9";"0,0001";"12401,0";"0,86s"
"C13";"batch";2;"0,1";"0";"0,0001";"70632,0";"4,91s"
"C14";"batch";2;"0,1";"0,8";"0,0001";"13572,0";"0,94s"
"C15";"batch";2;"0,1";"0,85";"0,0001";"7529,0";"0,52s"
"C16";"batch";2;"0,1";"0,9";"0,0001";"7988,0";"68,798s"
"C17";"batch";2;"0,5";"0";"0,0001";"13577,0";"0,96s"
"C18";"batch";2;"0,5";"0,8";"0,0001";"9493,0";"68,657s"
"C19";"batch";2;"0,5";"0,85";"0,0001";"4979,0";"68,721s"
"C20";"batch";2;"0,5";"0,9";"0,0001";"8762,0";"0,769s"
"C21";"batch";2;"0,9";"0";"0,0001";"7958,0";"68,864s"
"C22";"batch";2;"0,9";"0,8";"0,0001";"7412,0";"69,156s"
"C23";"batch";2;"0,9";"0,85";"0,0001";"7068,0";"68,665s"
"C24";"batch";2;"0,9";"0,9";"0,0001";"6768,0";"69,121s"
"C25";"batch";2;"0,99";"0";"0,0001";"6888,0";"68,88s"
"C26";"batch";2;"0,99";"0,8";"0,0001";"6971,0";"0,48s"
"C27";"batch";2;"0,99";"0,85";"0,0001";"3811,0";"0,46s"
"C28";"batch";2;"0,99";"0,9";"0,0001";"3763,0";"0,25s"
